term,estimate,std.error,statistic,p.value,or
(Intercept),3.4839585826619404,0.37595342520653074,9.266995188959966,1.9146366303066806e-20,32.58847123284606
as.factor(pclass)2,-1.2570298289759287,0.25517538469078405,-4.926140624806621,8.386964813145662e-7,0.28449777989579195
as.factor(pclass)3,-2.261412573510015,0.26546995947997254,-8.518525327460335,1.6159770122140023e-17,0.10420318608383639
sexmale,-2.493809781803975,0.16699628221569482,-14.933325153807521,2.0003714566920276e-50,0.08259469862552336
age,-0.034231088253463895,0.0063613420863697055,-5.381111059380068,7.402750343506393e-8,0.966348167122984
fare,3.3981738652932045e-4,0.0017811263246827718,0.19078791987976695,0.8486917533801871,1.000339875130998
